date,‰·“x
2018-04-06 19:00:00,15.9
2018-04-06 20:00:00,14.06
2018-04-06 21:00:00,12.92
2018-04-06 22:00:00,12.52
2018-04-06 23:00:00,12.1
2018-04-07 00:00:00,11.53
2018-04-07 01:00:00,10.88
2018-04-07 02:00:00,10.46
2018-04-07 03:00:00,10.08
2018-04-07 04:00:00,9.64
2018-04-07 05:00:00,9.23
2018-04-07 06:00:00,9.01
2018-04-07 07:00:00,9.07
2018-04-07 08:00:00,9.3
2018-04-07 09:00:00,10.41
2018-04-07 10:00:00,10.62
2018-04-07 11:00:00,11.07
2018-04-07 12:00:00,11.47
2018-04-07 13:00:00,11.78
2018-04-07 14:00:00,11.93
2018-04-07 15:00:00,11.79
2018-04-07 16:00:00,11.32
2018-04-07 17:00:00,10.63
2018-04-07 18:00:00,9.93
2018-04-07 19:00:00,9.17
2018-04-07 20:00:00,8.34
2018-04-07 21:00:00,7.64
2018-04-07 22:00:00,7.14
2018-04-07 23:00:00,6.76
2018-04-08 00:00:00,6.42
2018-04-08 01:00:00,6.31
2018-04-08 02:00:00,6.19
2018-04-08 03:00:00,6.43
2018-04-08 04:00:00,6.56
2018-04-08 05:00:00,6.7
2018-04-08 06:00:00,6.83
2018-04-08 07:00:00,7.28
2018-04-08 08:00:00,7.89
2018-04-08 09:00:00,8.75
2018-04-08 10:00:00,9.47
2018-04-08 11:00:00,10.46
2018-04-08 12:00:00,11.36
2018-04-08 13:00:00,12.49
2018-04-08 14:00:00,13.26
2018-04-08 15:00:00,13.76
2018-04-08 16:00:00,13.53
2018-04-08 17:00:00,12.94
2018-04-08 18:00:00,12.13
2018-04-08 19:00:00,11.53
